State,County,Population,No. of Tracts
AL,Autauga,54571,12
AL,Baldwin,182265,31
AL,Barbour,27457,9
AL,Bibb,22915,4
AL,Blount,57322,9
AL,Bullock,10914,3
AL,Butler,20947,9
AL,Calhoun,118572,31
AL,Chambers,34215,9
AL,Cherokee,25989,6
AL,Chilton,43643,9
AL,Choctaw,13859,4
AL,Clarke,25833,9
AL,Clay,13932,4
AL,Cleburne,14972,4
AL,Coffee,49948,14
AL,Colbert,54428,14
AL,Conecuh,13228,5
AL,Coosa,11539,3
AL,Covington,37765,14
AL,Crenshaw,13906,6
AL,Cullman,80406,18
AL,Dale,50251,14
AL,Dallas,43820,15
AL,DeKalb,71109,14
AL,Elmore,79303,15
AL,Escambia,38319,9
AL,Etowah,104430,30
AL,Fayette,17241,5
AL,Franklin,31704,9
AL,Geneva,26790,6
AL,Greene,9045,3
AL,Hale,15760,6
AL,Henry,17302,6
AL,Houston,101547,22
AL,Jackson,53227,11
AL,Jefferson,658466,163
AL,Lamar,14564,3
AL,Lauderdale,92709,22
AL,Lawrence,34339,9
AL,Lee,140247,27
AL,Limestone,82782,16
AL,Lowndes,11299,4
AL,Macon,21452,12
AL,Madison,334811,73
AL,Marengo,21027,6
AL,Marion,30776,8
AL,Marshall,93019,18
AL,Mobile,412992,114
AL,Monroe,23068,7
AL,Montgomery,229363,65
AL,Morgan,119490,27
AL,Perry,10591,3
AL,Pickens,19746,5
AL,Pike,32899,8
AL,Randolph,22913,6
AL,Russell,52947,13
AL,St. Clair,83593,13
AL,Shelby,195085,48
AL,Sumter,13763,4
AL,Talladega,82291,22
AL,Tallapoosa,41616,10
AL,Tuscaloosa,194656,47
AL,Walker,67023,18
AL,Washington,17581,5
AL,Wilcox,11670,4
AL,Winston,24484,7
AK,Aleutians East,3141,1
AK,Aleutians West,5561,2
AK,Anchorage,291826,55
AK,Bethel,17013,3
AK,Bristol Bay,997,1
AK,Denali,1826,1
AK,Dillingham,4847,2
AK,Fairbanks North Star,97581,19
AK,Haines,2508,1
AK,Hoonah-Angoon,2150,2
AK,Juneau,31275,6
AK,Kenai Peninsula,55400,13
AK,Ketchikan Gateway,13477,4
AK,Kodiak Island,13592,5
AK,Lake and Peninsula,1631,1
AK,Matanuska-Susitna,88995,24
AK,Nome,9492,2
AK,North Slope,9430,3
AK,Northwest Arctic,7523,2
AK,Petersburg,3815,1
AK,Prince of Wales-Hyder,5559,4
AK,Sitka,8881,2
AK,Skagway,968,1
AK,Southeast Fairbanks,7029,2
AK,Valdez-Cordova,9636,3
AK,Wade Hampton,7459,1
AK,Wrangell,2369,1
AK,Yakutat,662,1
AK,Yukon-Koyukuk,5588,4
AZ,Apache,71518,16
AZ,Cochise,131346,32
AZ,Coconino,134421,28
AZ,Gila,53597,16
AZ,Graham,37220,9
AZ,Greenlee,8437,3
AZ,La Paz,20489,9
AZ,Maricopa,3817117,916
AZ,Mohave,200186,43
AZ,Navajo,107449,31
AZ,Pima,980263,241
AZ,Pinal,375770,75
AZ,Santa Cruz,47420,10
AZ,Yavapai,211033,42
AZ,Yuma,195751,55
AR,Arkansas,19019,8
AR,Ashley,21853,7
AR,Baxter,41513,9
AR,Benton,221339,49
AR,Boone,36903,7
AR,Bradley,11508,5
AR,Calhoun,5368,2
AR,Carroll,27446,5
AR,Chicot,11800,4
AR,Clark,22995,5
AR,Clay,16083,6
AR,Cleburne,25970,7
AR,Cleveland,8689,2
AR,Columbia,24552,5
AR,Conway,21273,6
AR,Craighead,96443,17
AR,Crawford,61948,11
AR,Crittenden,50902,20
AR,Cross,17870,6
AR,Dallas,8116,3
AR,Desha,13008,5
AR,Drew,18509,5
AR,Faulkner,113237,25
AR,Franklin,18125,3
AR,Fulton,12245,2
AR,Garland,96024,20
AR,Grant,17853,4
AR,Greene,42090,9
AR,Hempstead,22609,5
AR,Hot Spring,32923,7
AR,Howard,13789,3
AR,Independence,36647,8
AR,Izard,13696,4
AR,Jackson,17997,5
AR,Jefferson,77435,24
AR,Johnson,25540,6
AR,Lafayette,7645,2
AR,Lawrence,17415,6
AR,Lee,10424,4
AR,Lincoln,14134,4
AR,Little River,13171,4
AR,Logan,22353,6
AR,Lonoke,68356,16
AR,Madison,15717,4
AR,Marion,16653,4
AR,Miller,43462,12
AR,Mississippi,46480,12
AR,Monroe,8149,3
AR,Montgomery,9487,3
AR,Nevada,8997,3
AR,Newton,8330,2
AR,Ouachita,26120,6
AR,Perry,10445,3
AR,Phillips,21757,6
AR,Pike,11291,3
AR,Poinsett,24583,7
AR,Polk,20662,6
AR,Pope,61754,11
AR,Prairie,8715,3
AR,Pulaski,382748,95
AR,Randolph,17969,4
AR,St. Francis,28258,6
AR,Saline,107118,21
AR,Scott,11233,3
AR,Searcy,8195,3
AR,Sebastian,125744,26
AR,Sevier,17058,4
AR,Sharp,17264,4
AR,Stone,12394,3
AR,Union,41639,10
AR,Van Buren,17295,5
AR,Washington,203065,32
AR,White,77076,13
AR,Woodruff,7260,2
AR,Yell,22185,6
CA,Alameda,1510271,360
CA,Alpine,1175,1
CA,Amador,38091,9
CA,Butte,220000,51
CA,Calaveras,45578,10
CA,Colusa,21419,5
CA,Contra Costa,1049025,208
CA,Del Norte,28610,7
CA,El Dorado,181058,43
CA,Fresno,930450,199
CA,Glenn,28122,6
CA,Humboldt,134623,30
CA,Imperial,174528,31
CA,Inyo,18546,6
CA,Kern,839631,151
CA,Kings,152982,27
CA,Lake,64665,15
CA,Lassen,34895,9
CA,Los Angeles,9818605,2343
CA,Madera,150865,23
CA,Marin,252409,55
CA,Mariposa,18251,6
CA,Mendocino,87841,20
CA,Merced,255793,49
CA,Modoc,9686,4
CA,Mono,14202,3
CA,Monterey,415057,93
CA,Napa,136484,40
CA,Nevada,98764,20
CA,Orange,3010232,583
CA,Placer,348432,85
CA,Plumas,20007,7
CA,Riverside,2189641,453
CA,Sacramento,1418788,317
CA,San Benito,55269,11
CA,San Bernardino,2035210,369
CA,San Diego,3095313,628
CA,San Francisco,805235,196
CA,San Joaquin,685306,139
CA,San Luis Obispo,269637,53
CA,San Mateo,718451,158
CA,Santa Barbara,423895,90
CA,Santa Clara,1781642,372
CA,Santa Cruz,262382,52
CA,Shasta,177223,48
CA,Sierra,3240,1
CA,Siskiyou,44900,14
CA,Solano,413344,96
CA,Sonoma,483878,99
CA,Stanislaus,514453,94
CA,Sutter,94737,21
CA,Tehama,63463,11
CA,Trinity,13786,5
CA,Tulare,442179,78
CA,Tuolumne,55365,11
CA,Ventura,823318,174
CA,Yolo,200849,41
CA,Yuba,72155,14
CO,Adams,441603,97
CO,Alamosa,15445,4
CO,Arapahoe,572003,147
CO,Archuleta,12084,4
CO,Baca,3788,2
CO,Bent,6499,1
CO,Boulder,294567,68
CO,Broomfield,55889,18
CO,Chaffee,17809,5
CO,Cheyenne,1836,1
CO,Clear Creek,9088,3
CO,Conejos,8256,2
CO,Costilla,3524,2
CO,Crowley,5823,1
CO,Custer,4255,1
CO,Delta,30952,7
CO,Denver,600158,144
CO,Dolores,2064,1
CO,Douglas,285465,61
CO,Eagle,52197,14
CO,Elbert,23086,7
CO,El Paso,622263,130
CO,Fremont,46824,14
CO,Garfield,56389,11
CO,Gilpin,5441,1
CO,Grand,14843,3
CO,Gunnison,15324,4
CO,Hinsdale,843,1
CO,Huerfano,6711,2
CO,Jackson,1394,1
CO,Jefferson,534543,138
CO,Kiowa,1398,1
CO,Kit Carson,8270,3
CO,Lake,7310,2
CO,La Plata,51334,10
CO,Larimer,299630,73
CO,Las Animas,15507,6
CO,Lincoln,5467,2
CO,Logan,22709,6
CO,Mesa,146723,29
CO,Mineral,712,1
CO,Moffat,13795,4
CO,Montezuma,25535,7
CO,Montrose,41276,10
CO,Morgan,28159,8
CO,Otero,18831,7
CO,Ouray,4436,1
CO,Park,16206,5
CO,Phillips,4442,2
CO,Pitkin,17148,4
